name,status,state,zipcode,TSR,latitude,longitude
WKGC-FM,Member,FL,32401,517431,30.162401,-85.6589
KHSU-FM,Member,CA,95521,1273296,40.880537,-124.087475
KMST-FM,Member,MO,65401,856398,37.838794,-91.714958
WKNO-FM,Member,TN,38016,1587314,35.181645,-89.766153
KVLU-FM,Member,TX,77710,577616,30.05,-94.08
WUNC-FM,Member,NC,27517-9495,9817559,35.826337,-79.041905
WITF-FM,Member,PA,17111,2035687,40.27008,-76.791356
WJAB-FM,Member,AL,35762,637645,34.771544,-86.5962
WJCT-FM,Member,FL,32202-1397,2094876,30.327634,-81.655561
WKSU-FM,Member,OH,44242,5422844,41.15375,-81.35127
WMFE-FM,Member,FL,32817-4699,4298220,28.588018,-81.240869
WMNF-FM,Member,FL,33603,1362737,27.981616,-82.459028
WMPN-FM,Member,MS,39211,1340152,32.373031,-90.126101
WNYE-FM,Member,NY,11201,406810,40.698677,-73.985941
WRVS-FM,Member,NC,27909,276872,36.292707,-76.317414
WSHA-FM,Member,NC,27601,639367,35.77443,-78.631362
WSIE-FM,Member,IL,62026-1773,0,38.79282,-89.99533
WSNC-FM,Member,NC,27110,215015,36.087607,-80.227252
WUCF-FM,Member,FL,32816-2199,752341,28.601343,-81.200929
WUFT-FM,Member,FL,32611,2637569,29.613024,-82.371937
WURC-FM,Member,MS,38635,398144,34.728903,-89.512008
WUWF-FM,Member,FL,32514,1663633,30.532746,-87.21206
WVAS-FM,Member,AL,36101,1049480,32.373798,-86.311007
WVIK-FM,Member,IL,61201,991364,41.489857,-90.573071
WVPE-FM,Member,IN,46514,1273055,41.72043,-85.981534
WVUB-FM,Member,IN,47591,686508,38.605823,-87.519801
WXPR-FM,Member,WI,54501,518964,45.636648,-89.346219
WYSU-FM,Member,OH,44555,1351462,41.107856,-80.645871
WSGE-FM,Member,NC,28034,527652,35.353299,-81.185774
KMUN-FM,Member,OR,97103,357293,46.187747,-123.831272
WCBE-FM,Member,OH,43215,1549575,39.96026,-83.00928
WEKU-FM,Member,KY,40475-3102,1448134,37.799041,-84.312126
WABE-FM,Member,GA,30324,8644375,33.81842,-84.359463
WDAV-FM,Member,NC,28035-8990,2358416,35.50603,-80.83945
WEAA-FM,Member,MD,21239,1571711,39.361433,-76.589277
KLCC-FM,Member,OR,97401,2095942,44.063717,-123.084706
WAMC-FM,Member,NY,12206-6600,6739538,42.67577,-73.786028
KPVU-FM,Member,TX,77446,581087,30.088373,-95.992438
KQED-FM,Member,CA,94110-1400,32582010,37.748582,-122.418411
WFAE-FM,Member,NC,28262-8485,4530179,35.330153,-80.732529
WBUR-FM,Member,MA,02215-1205,25677966,42.347618,-71.000288
WPPB-FM,Member,NY,11969-1410,905770,40.88,-72.39
WMHT-FM,Member,NY,12180,1326157,42.734263,-73.582969
WNMU-FM,Member,MI,49855,885267,46.547771,-87.395624
KEDT-FM,Member,TX,78411-4481,588022,27.72181,-97.389477
KEXP-FM,Member,WA,98109,7143251,47.628859,-122.345692
KUAZ-FM,Member,AZ,85721,3089407,32.233284,-110.948801
WBEZ-FM,Member,IL,60611-3428,20864961,41.892509,-87.61617
KUCV-FM,Member,NE,68503,1763147,40.821653,-96.669158
KUFM-FM,Member,MT,59812,2795397,46.861557,-113.98427
KUHF-FM,Member,TX,77204-0887,10538502,29.726027,-95.348164
KGOU-FM,Member,OK,73019,1841484,35.187951,-97.442192
KHCC-FM,Member,KS,67501,1888019,37.985433,-97.937495
KHPR-FM,Member,HI,96814,4490246,21.296698,-157.848036
KUOW-FM,Member,WA,98105,12565175,47.661424,-122.268374
KJZZ-FM,Member,AZ,85281,9010024,33.436665,-111.940325
KJJF-FM,Member,TX,78551,201222,26.207302,-97.69857
KMUW-FM,Member,KS,67208,2013261,37.701103,-97.276076
KNPR-FM,Member,NV,89146,5409559,36.135635,-115.230413
KOSU-FM,Member,OK,74078,1766048,36.1199,-97.088841
KPBX-FM,Member,WA,99205,1802196,47.70007,-117.45167
KPCC-FM,Member,CA,91105,21423698,34.140608,-118.167854
KPCW-FM,Member,UT,84060,898141,40.636545,-111.499133
KVNF-FM,Member,CO,81428,385705,38.906542,-107.550515
KVPR-FM,Member,CA,93711,1661801,36.838139,-119.829443
KWBU-FM,Member,TX,76798,1048118,31.547022,-97.124329
KWSU-AM,Member,WA,99164-2530,1306355,46.728721,-117.154274
KXCV-FM,Member,MO,64468,811871,40.349238,-94.872809
KXJZ-FM,Member,CA,95826,6777758,38.549963,-121.388467
KXPR-FM,Member,CA,95826,3291863,38.549963,-121.388467
KZYX-FM,Member,CA,95466,607844,39.10287,-123.505602
KRCC-FM,Member,CO,80903,1902049,38.841342,-104.816278
KRCU-FM,Member,MO,63701-4799,695056,37.306783,-89.524758
KRFA-FM,Member,WA,99164-2530,3048163,46.728721,-117.154274
KRPS-FM,Member,KS,66762,800965,37.396041,-94.707062
KRTS-FM,Member,TX,79843,380714,30.249513,-104.239594
KSJD-FM,Member,CO,81321,457763,37.343787,-108.760096
KSJN-FM,Member,MN,55101,35112655,44.951319,-93.090184
KSMU-FM,Member,MO,65804-0089,1236633,37.156515,-93.248306
KSOR-FM,Member,OR,97520,2227106,42.199032,-122.456297
