name,latitude,longitude,TSR,total products,product names,Core Publisher,Composer Pro,Springboard Donation Forms
KBBI-AM,59.661311,-151.485811,551259,2,"Analytics, Coaching & Development Webinars",0,0,0
KBUT-FM,38.841084,-106.939076,320796,4,"Live Streaming, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Analytics Service: Google Premium",0,0,0
KCHU-AM,61.133897,-146.351814,433027,3,"Live Streaming, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics",0,0,0
KCME-FM,38.878567,-104.824024,788982,3,"Composer Pro, Sound Exchange Reporting, Coaching & Development Webinars",0,1,0
KCPW-FM,40.761041,-111.884418,650342,2,"Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,0,0
KCUK-FM,61.332509,-164.607872,336586,1,Live Streaming,0,0,0
KDLG-AM,59.039575,-158.462999,648033,11,"Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Composer Pro, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Sound Exchange Reporting, Coaching & Development Webinars, Springboard Donation Forms",1,1,1
KDNA-FM,46.607186,-120.468944,371707,1,Coaching & Development Webinars,0,0,0
KGNU-FM,40.041733,-105.224305,877653,1,Coaching & Development Webinars,0,0,0
KIDE-FM,41.188539,-123.691483,325120,1,Coaching & Development Webinars,0,0,0
KING-FM,47.630202,-122.346103,3351430,5,"Analytics Service: Google Premium, Analytics, Quick Pledge, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics",0,0,0
KISU-FM,42.885352,-112.43767,377639,4,"Composer Pro, Sound Exchange Reporting, Composer 2, Coaching & Development Webinars",0,1,0
KMFA-FM,30.292489,-97.740525,1466106,9,"Analytics, Quick Pledge, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars",0,1,0
KMXT-FM,57.779519,-152.410376,526352,3,"Composer Pro, Sound Exchange Reporting, Coaching & Development Webinars",0,1,0
KNBA-FM,61.205279,-149.812633,1395615,10,"Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Quick Pledge, Live Streaming, Composer Pro, Sound Exchange Reporting, Core Publisher",1,1,0
KNCT-FM,31.118943,-97.725787,609535,5,"Live Streaming, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2",0,1,0
KOTO-FM,37.936182,-107.847865,417076,3,"Live Streaming, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,0,0
